set_type,instance_name,instance_file,note_trials,repeat_id,seed,best_cost,opt_cost,error_percent,time_ms
TSP,ch130,data/tsp/ch130.tsp,1000,4,112349,40828,6110,568.216,12.3058
TSP,ch130,data/tsp/ch130.tsp,1000,5,112350,40088,6110,556.105,12.2781
TSP,ch130,data/tsp/ch130.tsp,2000,1,212346,38791,6110,534.877,24.8868
TSP,ch130,data/tsp/ch130.tsp,2000,2,212347,40582,6110,564.19,24.8015
TSP,ch130,data/tsp/ch130.tsp,2000,3,212348,40233,6110,558.478,24.7107
TSP,ch130,data/tsp/ch130.tsp,2000,4,212349,40405,6110,561.293,24.7207
TSP,ch130,data/tsp/ch130.tsp,2000,5,212350,40318,6110,559.869,24.7105
TSP,ch130,data/tsp/ch130.tsp,5000,1,512346,39773,6110,550.949,61.3404
TSP,ch130,data/tsp/ch130.tsp,5000,2,512347,39320,6110,543.535,61.3891
TSP,ch130,data/tsp/ch130.tsp,5000,3,512348,39616,6110,548.38,61.4195
TSP,ch130,data/tsp/ch130.tsp,5000,4,512349,40709,6110,566.268,61.3548
TSP,ch130,data/tsp/ch130.tsp,5000,5,512350,39250,6110,542.39,61.4226
TSP,ch130,data/tsp/ch130.tsp,10000,1,1012346,40061,6110,555.663,123.106
TSP,ch130,data/tsp/ch130.tsp,10000,2,1012347,39284,6110,542.946,122.401
TSP,ch130,data/tsp/ch130.tsp,10000,3,1012348,38972,6110,537.84,122.488
TSP,ch130,data/tsp/ch130.tsp,10000,4,1012349,38385,6110,528.232,122.469
TSP,ch130,data/tsp/ch130.tsp,10000,5,1012350,40183,6110,557.66,122.838
TSP,ch130,data/tsp/ch130.tsp,20000,1,2012346,39609,6110,548.265,245.035
TSP,ch130,data/tsp/ch130.tsp,20000,2,2012347,38503,6110,530.164,245.048
TSP,ch130,data/tsp/ch130.tsp,20000,3,2012348,39888,6110,552.831,245.409
TSP,ch130,data/tsp/ch130.tsp,20000,4,2012349,39196,6110,541.506,244.91
TSP,ch130,data/tsp/ch130.tsp,20000,5,2012350,39663,6110,549.149,244.391
TSP,ch130,data/tsp/ch130.tsp,50000,1,5012346,39216,6110,541.833,612.125
TSP,ch130,data/tsp/ch130.tsp,50000,2,5012347,39588,6110,547.921,612.073
TSP,ch130,data/tsp/ch130.tsp,50000,3,5012348,38898,6110,536.628,612.016
TSP,ch130,data/tsp/ch130.tsp,50000,4,5012349,38555,6110,531.015,612.404
TSP,ch130,data/tsp/ch130.tsp,50000,5,5012350,38797,6110,534.975,612.172
TSP,ch130,data/tsp/ch130.tsp,500000,1,50012346,38940,6110,537.316,6109.73
TSP,ch130,data/tsp/ch130.tsp,500000,2,50012347,37699,6110,517.005,6105.14
TSP,ch130,data/tsp/ch130.tsp,500000,3,50012348,37939,6110,520.933,6099.86
TSP,ch130,data/tsp/ch130.tsp,500000,4,50012349,37483,6110,513.47,6112.35
TSP,ch130,data/tsp/ch130.tsp,500000,5,50012350,38280,6110,526.514,6109.62
TSP,ch130,data/tsp/ch130.tsp,2000000,1,200012346,38221,6110,525.548,24558
TSP,ch130,data/tsp/ch130.tsp,2000000,2,200012347,38000,6110,521.931,24413.5
TSP,ch130,data/tsp/ch130.tsp,2000000,3,200012348,37086,6110,506.972,24407
TSP,ch130,data/tsp/ch130.tsp,2000000,4,200012349,37379,6110,511.768,24419.2
TSP,ch130,data/tsp/ch130.tsp,2000000,5,200012350,37951,6110,521.129,24468.3
TSP,bays29,data/tsp/bays29.tsp,100,1,22346,4890,2020,142.079,0.290709
TSP,bays29,data/tsp/bays29.tsp,100,2,22347,4948,2020,144.95,0.292752
TSP,bays29,data/tsp/bays29.tsp,100,3,22348,5014,2020,148.218,0.292132
TSP,bays29,data/tsp/bays29.tsp,100,4,22349,5071,2020,151.04,0.312199
TSP,bays29,data/tsp/bays29.tsp,100,5,22350,5174,2020,156.139,0.290148
TSP,bays29,data/tsp/bays29.tsp,500,1,62346,4505,2020,123.02,1.4469
TSP,bays29,data/tsp/bays29.tsp,500,2,62347,4852,2020,140.198,1.45282
TSP,bays29,data/tsp/bays29.tsp,500,3,62348,4838,2020,139.505,1.45499
TSP,bays29,data/tsp/bays29.tsp,500,4,62349,4631,2020,129.257,1.55417
TSP,bays29,data/tsp/bays29.tsp,500,5,62350,4558,2020,125.644,1.44455
TSP,bays29,data/tsp/bays29.tsp,1000,1,112346,4687,2020,132.03,2.89293
TSP,bays29,data/tsp/bays29.tsp,1000,2,112347,4513,2020,123.416,2.90885
TSP,bays29,data/tsp/bays29.tsp,1000,3,112348,4585,2020,126.98,2.92453
